保育所,,,4355,名詞,固有名詞,一般,*,*,*,保育士,ホイクショ,ホイクショ
看護,,,1100,名詞,サ変接続,*,*,*,*,看護師,カンゴ,カンゴ
拡散希望,,,5704,名詞,固有名詞,一般,*,*,*,拡散,カクサンキボウ,カクサンキボー
ももクロちゃん,,,4487,名詞,固有名詞,一般,*,*,*,ももクロ,モモクロチャン,モモクロチャン
海釣り,,,8181,名詞,固有名詞,一般,*,*,*,釣り,ウミヅリ,ウミズリ
保育,,,3631,名詞,サ変接続,*,*,*,*,保育士,ホイク,ホイク
演技力,,,7256,名詞,固有名詞,一般,*,*,*,演技,エンギリョク,エンギリョク
同性,,,5703,名詞,一般,*,*,*,*,同性愛,ドウセイ,ドーセイ
副代表,,,-1555,名詞,固有名詞,一般,*,*,*,代表,フクダイヒョウ,フクダイヒョー
あるあるネタ,,,717,名詞,固有名詞,一般,*,*,*,あるある,アルアルネタ,アルアルネタ
小田急線,,,4982,名詞,固有名詞,一般,*,*,*,小田急,オダキュウセン,オダキューセン
山田,,,4394,名詞,固有名詞,人名,姓,*,*,山田くん,ヤマダ,ヤマダ
アイドルマスターミリオンライブ!,,,3663,名詞,固有名詞,一般,*,*,*,ミリオン,アイドルマスターミリオンライブ,アイドルマスターミリオンライブ
南ことり,,,6755,名詞,固有名詞,人名,一般,*,*,ことり,ミナミコトリ,ミナミコトリ
効率的,,,5462,名詞,固有名詞,一般,*,*,*,効率,コウリツテキ,コーリツテキ
対戦相手,,,7070,名詞,固有名詞,一般,*,*,*,対戦,タイセンアイテ,タイセンアイテ
板金塗装,,,5447,名詞,固有名詞,一般,*,*,*,塗装,バンキントソウ,バンキントソー
みーちゃん,,,6178,名詞,固有名詞,人名,一般,*,*,みぃちゃん,ミーチャン,ミーチャン
絵描き,,,5522,名詞,一般,*,*,*,*,お絵描き,エカキ,エカキ
垂れ,,,5848,名詞,一般,*,*,*,*,垂れ流し,タレ,タレ
空揚げ,,,5522,名詞,一般,*,*,*,*,唐揚げ,カラアゲ,カラアゲ
審判員,,,7296,名詞,固有名詞,一般,*,*,*,審判,シンパンイン,シンパンイン
現代アート,,,4611,名詞,固有名詞,一般,*,*,*,アート,ゲンダイアート,ゲンダイアート
TBSラジオ,,,4972,名詞,固有名詞,一般,*,*,*,ラジオ,ティービーエスラジオ,ティービーエスラジオ
豊川風花,,,7706,名詞,固有名詞,一般,*,*,*,風花,トヨカワフウカ,トヨカワフウカ
飼主,,,5520,名詞,一般,*,*,*,*,飼い主,カイヌシ,カイヌシ
詐欺師,,,6261,名詞,固有名詞,一般,*,*,*,詐欺,サギシ,サギシ
タワーレコード,,,3237,名詞,固有名詞,組織,*,*,*,タワレコ,タワーレコード,タワーレコード
執行,,,4363,名詞,サ変接続,*,*,*,*,執行部,シッコウ,シッコー
作曲家,,,5621,名詞,固有名詞,一般,*,*,*,作曲,サッキョクカ,サッキョクカ
阪急電車,,,7253,名詞,固有名詞,一般,*,*,*,阪急,ハンキュウデンシャ,ハンキューデンシャ
家庭教師ヒットマンREBORN!,,,3663,名詞,固有名詞,一般,*,*,*,REBORN!,カテキョーヒットマンリボーン,カテキョーヒットマンリボーン
おねショタ,,,6418,名詞,固有名詞,一般,*,*,*,ロリショタ,オネショタ,オネショタ
ダウンタウン,,,4952,名詞,固有名詞,人名,一般,*,*,水曜日のダウンタウン,ダウンタウン,ダウンタウン
応募方法,,,6068,名詞,固有名詞,一般,*,*,*,応募,オウボホウホウ,オーボホウホー
元代表,,,542,名詞,固有名詞,一般,*,*,*,代表,モトダイヒョウ,モトダイヒョー
痛単車,,,8181,名詞,固有名詞,一般,*,*,*,痛車,イタンシャ,イタンシャ
映画鑑賞,,,3295,名詞,固有名詞,一般,*,*,*,映画,エイガカンショウ,エイガカンショー
調整中,,,6221,名詞,固有名詞,一般,*,*,*,調整,チョウセイチュウ,チョーセイチュー
インティライミ,,,3563,名詞,固有名詞,一般,*,*,*,ナオト・インティライミ,インティライミ,インティライミ
エロゲーマー,,,4593,名詞,固有名詞,一般,*,*,*,エロゲ,エロゲーマー,エロゲーマー
とびだせ どうぶつの森,,,4600,名詞,固有名詞,一般,*,*,*,どうぶつの森,トビダセドウブツノモリ,トビダセドーブツノモリ
おしらせ,,,6978,名詞,サ変接続,*,*,*,*,お知らせ,オシラセ,オシラセ
安全保障,,,1845,名詞,固有名詞,一般,*,*,*,安保,アンゼンホショウ,アンゼンホショー
コミックス,,,6178,名詞,固有名詞,人名,一般,*,*,コミック,コミックス,コミックス
鏡音リン,,,3222,名詞,固有名詞,一般,*,*,*,鏡音,カガミネリン,カガミネリン
絵かき,,,5522,名詞,一般,*,*,*,*,お絵描き,エカキ,エカキ
